[26/06/2012 18:59:37] /clean
[26/06/2012 18:59:43] /i baiak helmet
[26/06/2012 18:59:45] /i baiak armor
[26/06/2012 18:59:47] /i baiak legs
[26/06/2012 18:59:50] /i baiak boots
[26/06/2012 18:59:57] /i boots of baiak
[26/06/2012 19:00:05] /i baiak shield
[26/06/2012 19:00:08] /i baiak sword
[26/06/2012 19:00:17] /i golden backpack
[26/06/2012 19:00:23] /i golden amulet
[26/06/2012 19:00:27] /i golden ring
[26/06/2012 19:00:32] /i ring
[26/06/2012 19:00:38] /i crystal arrow
[26/06/2012 19:00:45] /i baiak arrow
[26/06/2012 19:00:57] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:53] /r
[26/06/2012 19:01:54] /r
[26/06/2012 19:02:04] /r 100
[26/06/2012 19:02:05] /r 100
[26/06/2012 19:02:05] /r 100
[26/06/2012 19:02:06] /r 100
[26/06/2012 19:02:06] /r 100
[26/06/2012 19:02:06] /r 100
[26/06/2012 19:02:07] /r 100
[26/06/2012 19:02:07] /r 100
[26/06/2012 19:02:07] /r 100
[26/06/2012 19:02:08] /r 100
[26/06/2012 19:02:08] /r 100
[26/06/2012 19:02:08] /r 100
[26/06/2012 19:02:08] /r 100
[26/06/2012 19:02:08] /r 100
[26/06/2012 19:02:08] /r 100
[26/06/2012 19:02:09] /r 100
[26/06/2012 19:02:09] /r 100
[26/06/2012 19:02:09] /r 100
[26/06/2012 19:02:09] /r 100
[26/06/2012 19:02:10] /r 100
[26/06/2012 19:02:10] /r 100
[26/06/2012 19:02:10] /r 100
[26/06/2012 19:02:10] /r 100
[26/06/2012 19:02:10] /r 100
[26/06/2012 19:02:12] /r 100
[26/06/2012 19:02:12] /r 100
[26/06/2012 19:02:12] /r 100
[26/06/2012 19:02:12] /r 100
[26/06/2012 19:02:12] /r 100
[26/06/2012 19:02:13] /r 100
[26/06/2012 19:02:13] /r 100
[26/06/2012 19:02:13] /r 100
[26/06/2012 19:02:13] /r 100
[26/06/2012 19:02:14] /r 100
[26/06/2012 19:02:14] /r 100
[26/06/2012 19:02:14] /r 100
[26/06/2012 19:02:14] /r 100
[26/06/2012 19:02:14] /r 100
[26/06/2012 19:02:14] /r 100
[26/06/2012 19:02:15] /r 100
[26/06/2012 19:02:15] /r 100
[26/06/2012 19:02:15] /r 100
[26/06/2012 19:02:16] /r 100
[26/06/2012 19:02:16] /r 100
[26/06/2012 19:02:16] /r 100
[26/06/2012 19:02:16] /r 100
[26/06/2012 19:02:16] /r 100
[26/06/2012 19:02:18] /r 100
[26/06/2012 19:02:19] /r 100
[26/06/2012 19:02:20] /r 100
[26/06/2012 19:02:20] /r 100
[26/06/2012 19:02:20] /r 100
[26/06/2012 19:02:20] /r 100
[26/06/2012 19:02:20] /r 100
