[16/11/2012 10:28:49] /t
[16/11/2012 10:31:10] /i 2472
[16/11/2012 10:31:11] /i 2472
[16/11/2012 10:31:12] /i 2472
[16/11/2012 10:31:13] /i 2472
[16/11/2012 10:31:13] /i 2472
[16/11/2012 10:31:13] /i 2472
[16/11/2012 10:31:14] /i 2472
[16/11/2012 10:31:14] /i 2472
[16/11/2012 10:31:15] /i 2472
[16/11/2012 10:31:15] /i 2472
[16/11/2012 10:31:16] /i 2472
[16/11/2012 10:31:18] /i 2472
[16/11/2012 10:31:18] /i 2472
[16/11/2012 10:31:19] /i 2472
[16/11/2012 10:31:21] /i 2472
[16/11/2012 10:31:22] /i 2472
[16/11/2012 10:31:23] /i 2472
[16/11/2012 10:31:24] /i 2472
[16/11/2012 10:31:27] /i 2472
[16/11/2012 10:35:38] /attr 3
[16/11/2012 10:35:48] /attr 1
